encoded, decoded, type
0, 1993, year
7, 1995, year
23, 1994, year
28, 1991, year
30, 1996, year
33, 1939, year
36, 1988, year
37, 1989, year
38, 1992, year
41, 1981, year
44, 1969, year
47, 1982, year
49, 1997, year
53, 1998, year
60, 1999, year
63, 1978, year
73, 2000, year
76, 2001, year
79, 2002, year
82, 2003, year
84, 1961, year
89, 2005, year
95, 2006, year
105, 1976, year
112, 1977, year
128, 1990, year
136, 1964, year
142, 1972, year
144, 1958, year
146, 1954, year
147, 1959, year
148, 1960, year
150, 1942, year
152, 1941, year
154, 1968, year
155, 1951, year
161, 1971, year
163, 1973, year
166, 1979, year
168, 1967, year
171, 1986, year
175, 1975, year
182, 1957, year
192, 1980, year
194, 1987, year
197, 1985, year
199, 1966, year
202, 1962, year
204, 1983, year
209, 1984, year
212, 2009, year
219, 1974, year
222, 1948, year
223, 1963, year
227, 1970, year
239, 1956, year
261, 1935, year
269, 1927, year
290, 2004, year
321, 1943, year
377, 1949, year
429, 1944, year
454, 2007, year
525, 1950, year
529, 1931, year
532, 1952, year
534, 1946, year
541, 1936, year
543, 1925, year
545, 1965, year
553, 1945, year
562, 1953, year
624, 2008, year
628, 1955, year
685, 2011, year
715, 1940, year
931, 1929, year
1002, 1932, year
1080, 1937, year
1096, 1933, year
1101, 1922, year
1113, 1947, year
1123, 1938, year
1145, 1926, year
1195, 1924, year
1205, 1928, year
1208, 1915, year
1294, 1903, year
1618, 1930, year
1808, 1934, year
1821, 1923, year
2014, 2010, year
2729, 1917, year
2909, 1920, year
3075, 1921, year
3440, 1916, year
3639, 1918, year
3959, 1919, year
1, donald_petrie, director
8, siddharth_randeria, director
13, mel_gibson, director
16, frank_marshall, director
19, robert_rodriguez, director
20, john_mctiernan, director
22, danny_cannon, director
24, quentin_tarantino, director
25, alex_proyas, director
27, john_landis, director
29, james_cameron, director
31, rob_cohen, director
32, ron_howard, director
34, george_cukor, director
35, walter_hill, director
39, sam_raimi, director
42, wolfgang_petersen, director
45, george_roy_hill, director
48, nicholas_meyer, director
50, tom_shadyac, director
